,Singapore
1/29/22,5207.0
1/30/22,4498.0
1/31/22,4481.0
2/1/22,6264.0
2/2/22,3101.0
2/3/22,4297.0
2/4/22,13208.0
2/5/22,0.0
2/6/22,10390.0
2/7/22,15558.0
2/8/22,13011.0
2/9/22,10314.0
2/10/22,10686.0
2/11/22,9930.0
2/12/22,10505.0
2/13/22,9420.0
2/14/22,9082.0
2/15/22,19420.0
2/16/22,16883.0
2/17/22,18545.0
2/18/22,18094.0
2/19/22,24836.0
2/20/22,6283.0
2/21/22,13623.0
2/22/22,26032.0
2/23/22,20312.0
2/24/22,18593.0
2/25/22,18597.0
2/26/22,16857.0
2/27/22,14228.0
2/28/22,13544.0
