,Ukraine
2/18/22,36993.0
2/19/22,33348.0
2/20/22,19748.0
2/21/22,16033.0
2/22/22,26700.0
2/23/22,26819.0
2/24/22,27538.0
2/25/22,0.0
2/26/22,0.0
2/27/22,0.0
2/28/22,0.0
